part,revision,cad,drawing,material,process,inspection,procurement_or_dependency
shell,M3,mechanical/closed-m3/enclosure.scad; part=shell,mechanical/closed-m3/exports/assembly-drawing.svg; README dimension schedule,opaque PETG trial,FDM; CNC after supplier CAM review,mechanical/closed-m3/inspection-record.csv,resin/fastener/adhesive/torque qualification pending; not mold-ready
lid,M3,mechanical/closed-m3/enclosure.scad; part=lid,mechanical/closed-m3/exports/assembly-drawing.svg; README dimension schedule,opaque PETG trial,FDM; CNC after supplier CAM review,mechanical/closed-m3/inspection-record.csv,resin/fastener/adhesive/torque qualification pending; not mold-ready
lens,M3,mechanical/closed-m3/enclosure.scad; part=lens,mechanical/closed-m3/exports/assembly-drawing.svg; README dimension schedule,translucent PETG trial,FDM; CNC after supplier CAM review,mechanical/closed-m3/inspection-record.csv,resin/fastener/adhesive/torque qualification pending; not mold-ready
tray,M3,mechanical/closed-m3/enclosure.scad; part=tray,mechanical/closed-m3/exports/assembly-drawing.svg; README dimension schedule,opaque PETG trial,FDM; CNC after supplier CAM review,mechanical/closed-m3/inspection-record.csv,resin/fastener/adhesive/torque qualification pending; not mold-ready
clamp,M3,mechanical/closed-m3/enclosure.scad; part=clamp,mechanical/closed-m3/exports/assembly-drawing.svg; README dimension schedule,opaque PETG trial,FDM; CNC after supplier CAM review,mechanical/closed-m3/inspection-record.csv,resin/fastener/adhesive/torque qualification pending; not mold-ready
base,M1,mechanical/enclosure.scad; part=base,mechanical/assembly-validation/assembly-drawing.svg,PETG fit-study candidate,FDM study only,assembly-verification.json + physical fit required,PCB/switch/return mechanism unresolved
lid,M1,mechanical/enclosure.scad; part=lid,mechanical/assembly-validation/assembly-drawing.svg,PETG fit-study candidate,FDM study only,assembly-verification.json + physical fit required,PCB/switch/return mechanism unresolved
cap,M1,mechanical/enclosure.scad; part=cap,mechanical/assembly-validation/assembly-drawing.svg,PETG fit-study candidate,FDM study only,assembly-verification.json + physical fit required,PCB/switch/return mechanism unresolved
diffuser,M1,mechanical/enclosure.scad; part=diffuser,mechanical/assembly-validation/assembly-drawing.svg,PETG fit-study candidate,FDM study only,assembly-verification.json + physical fit required,PCB/switch/return mechanism unresolved
carrier,M1,mechanical/enclosure.scad; part=carrier,mechanical/assembly-validation/assembly-drawing.svg,PETG fit-study candidate,FDM study only,assembly-verification.json + physical fit required,PCB/switch/return mechanism unresolved
base,M2,mechanical/bench-m2/stand.scad; part=base,mechanical/bench-m2/README.md; exports/*_dxf.dxf for plates,PETG trial / insulating sheet for CNC,FDM; CNC plates/turned spacer,mechanical/bench-m2/inspection-record.csv,exact stock grade and fasteners supplier review
deck,M2,mechanical/bench-m2/stand.scad; part=deck,mechanical/bench-m2/README.md; exports/*_dxf.dxf for plates,PETG trial / insulating sheet for CNC,FDM; CNC plates/turned spacer,mechanical/bench-m2/inspection-record.csv,exact stock grade and fasteners supplier review
spacer,M2,mechanical/bench-m2/stand.scad; part=spacer,mechanical/bench-m2/README.md; exports/*_dxf.dxf for plates,PETG trial / insulating sheet for CNC,FDM; CNC plates/turned spacer,mechanical/bench-m2/inspection-record.csv,exact stock grade and fasteners supplier review
coupon-hole30-seat1.2,M2,mechanical/bench-m2/stand.scad; part=coupon,Ø30 hole; 1.2 seat;46x46 envelope,same lot as deck,FDM,received switch fit; record best coupon,fit trial only
coupon-hole30-seat1.6,M2,mechanical/bench-m2/stand.scad; part=coupon,Ø30 hole; 1.6 seat;46x46 envelope,same lot as deck,FDM,received switch fit; record best coupon,fit trial only
coupon-hole30-seat2,M2,mechanical/bench-m2/stand.scad; part=coupon,Ø30 hole; 2 seat;46x46 envelope,same lot as deck,FDM,received switch fit; record best coupon,fit trial only
coupon-hole30.2-seat1.2,M2,mechanical/bench-m2/stand.scad; part=coupon,Ø30.2 hole; 1.2 seat;46x46 envelope,same lot as deck,FDM,received switch fit; record best coupon,fit trial only
coupon-hole30.2-seat1.6,M2,mechanical/bench-m2/stand.scad; part=coupon,Ø30.2 hole; 1.6 seat;46x46 envelope,same lot as deck,FDM,received switch fit; record best coupon,fit trial only
coupon-hole30.2-seat2,M2,mechanical/bench-m2/stand.scad; part=coupon,Ø30.2 hole; 2 seat;46x46 envelope,same lot as deck,FDM,received switch fit; record best coupon,fit trial only
coupon-hole30.4-seat1.2,M2,mechanical/bench-m2/stand.scad; part=coupon,Ø30.4 hole; 1.2 seat;46x46 envelope,same lot as deck,FDM,received switch fit; record best coupon,fit trial only
coupon-hole30.4-seat1.6,M2,mechanical/bench-m2/stand.scad; part=coupon,Ø30.4 hole; 1.6 seat;46x46 envelope,same lot as deck,FDM,received switch fit; record best coupon,fit trial only
coupon-hole30.4-seat2,M2,mechanical/bench-m2/stand.scad; part=coupon,Ø30.4 hole; 2 seat;46x46 envelope,same lot as deck,FDM,received switch fit; record best coupon,fit trial only
controller,P3,purchased / supplier assembly,manufacturer drawing + WIRING-P3.md,Raspberry Pi Pico H / RP2040 factory headers,procure/assemble,incoming identity/dimensions + electrical checks,received header/USB envelope
switch,P3,purchased / supplier assembly,manufacturer drawing + WIRING-P3.md,Adafruit471; nominal body29.5 bezel33.2,procure/assemble,incoming identity/dimensions + electrical checks,received clip panel range and insulated terminals
LED ring,P3,purchased / supplier assembly,manufacturer drawing + WIRING-P3.md,Adafruit1643 RGB12;36.8 OD23.3 ID6.7 height,procure/assemble,incoming identity/dimensions + electrical checks,lot-specific LED silicon and pad positions
breadboard,P3,purchased / supplier assembly,manufacturer drawing + WIRING-P3.md,Adafruit64;82.6x55x9.3,procure/assemble,incoming identity/dimensions + electrical checks,availability and received envelope
buffer,P3,purchased / supplier assembly,manufacturer drawing + WIRING-P3.md,TI SN74AHCT1G125DBVR,procure/assemble,incoming identity/dimensions + electrical checks,technician adapter and decoupling
limiter,P3,purchased / supplier assembly,manufacturer drawing + WIRING-P3.md,TI TPS2553DBVR;100k1% ILIM,procure/assemble,incoming identity/dimensions + electrical checks,technician adapter and thermal/layout review
passives,P3,purchased / supplier assembly,manufacturer drawing + WIRING-P3.md,WIRING-P3.md value tolerance voltage schedule,procure/assemble,incoming identity/dimensions + electrical checks,exact manufacturer MPNs and footprints pending
USB cable,P3,purchased / supplier assembly,manufacturer drawing + WIRING-P3.md,USB data cable; Pico Micro-B; targetOD4.0,procure/assemble,incoming identity/dimensions + electrical checks,exact SKU/OD/bend radius/length NOT SELECTED
switch leads,P3,purchased / supplier assembly,manufacturer drawing + WIRING-P3.md,Adafruit1152 candidate; two separate insulated contacts,procure/assemble,incoming identity/dimensions + electrical checks,stock and exact terminal fit; no soldering by owner
fasteners,P3,purchased / supplier assembly,manufacturer drawing + WIRING-P3.md,M3x12 qty4; M2x8 qty4; M2x10 qty2 thread-forming pan,procure/assemble,incoming identity/dimensions + electrical checks,specific screw family/pilots/torque supplier approval
harness carrier,P3,purchased / supplier assembly,manufacturer drawing + WIRING-P3.md,35x25x12max insulated assembly + separate capacitor,procure/assemble,incoming identity/dimensions + electrical checks,supplier drawing/mounting and continuity test required
